# source_file=cooling_tables.hpp
# selected_nH_index=80
# selected_log10_nH=0.00000000
log10_T,primordial_cooling_cgs,metal_cooling_cgs
3.88967728614807129e+00,-1.89281417988363998e-25,3.05720825147107191e-26
3.90956687927246094e+00,-1.52917025669454847e-25,3.19655621629528822e-26
3.92946004867553711e+00,-8.90786418037191280e-26,3.37952295064877775e-26
3.94935131072998047e+00,2.26541623494909828e-26,3.59276222224012360e-26
3.96923899650573730e+00,2.15647651609033961e-25,3.82688011517258260e-26
3.98913407325744629e+00,5.42980356634608873e-25,4.13292486632889617e-26
4.00902605056762695e+00,1.08864658743626899e-24,4.76963145111628541e-26
4.02889680862426758e+00,1.97499965648992476e-24,6.44491655845789096e-26
4.04879140853881836e+00,3.38647810305703017e-24,1.06056604813498897e-25
4.06870555877685547e+00,5.60113094153993004e-24,2.06292488504259761e-25
4.08859682083129883e+00,9.01425124394898944e-24,4.34480871464770096e-25
4.10846376419067383e+00,1.41993811202860502e-23,9.13245041489800605e-25
4.12836742401123047e+00,2.18644427691746380e-23,1.79678000356716746e-24
4.14826345443725586e+00,3.31509486860448603e-23,3.35772925065760823e-24
4.16814422607421875e+00,4.88729938587539389e-23,5.75514183378803862e-24
4.18805646896362305e+00,6.92073099513421577e-23,8.96031130183269232e-24
4.20793104171752930e+00,9.14707759213174983e-23,1.25607971132844151e-23
4.22783565521240234e+00,1.10820858661454049e-22,1.60363068469655939e-23
4.24772834777832031e+00,1.22810181269169206e-22,1.88792006217574554e-23
4.26761770248413086e+00,1.26393162257134075e-22,2.11554193207274239e-23
4.28751087188720703e+00,1.23281188027571326e-22,2.30059450094129778e-23
4.30738925933837891e+00,1.16088631972804778e-22,2.48384278714743167e-23
4.32727766036987305e+00,1.06996221179227396e-22,2.67510747787242149e-23
4.34717416763305664e+00,9.74912171995576998e-23,2.89666600507970860e-23
4.36705780029296875e+00,8.84281772752035064e-23,3.14351983052945058e-23
4.38696289062500000e+00,8.02864890228240042e-23,3.43222651353351231e-23
4.40684652328491211e+00,7.31766434562480690e-23,3.76412427773151069e-23
4.42673921585083008e+00,6.70860061792176811e-23,4.14464648149424598e-23
4.44663047790527344e+00,6.18397466824741389e-23,4.57932871956583506e-23
4.46652650833129883e+00,5.72846997326597307e-23,5.07153595702358866e-23
4.48641633987426758e+00,5.29904565089986309e-23,5.62214793154900928e-23
4.50630187988281250e+00,4.89208966483625796e-23,6.23184842777474247e-23
4.52619695663452148e+00,4.50597538388859196e-23,6.90267428455806890e-23
4.54608583450317383e+00,4.15937672340525689e-23,7.62056863165667431e-23
4.56597757339477539e+00,3.82713533139694423e-23,8.41739198331062492e-23
4.58586692810058594e+00,3.52926871110581821e-23,9.28864404582781591e-23
4.60575771331787109e+00,3.26955392854607702e-23,1.02323949498897146e-22
4.62565183639526367e+00,3.06405818709090015e-23,1.12562613053084109e-22
4.64555025100708008e+00,2.89073534879425703e-23,1.23581523151407070e-22
4.66544055938720703e+00,2.77765592456317005e-23,1.35428598360692775e-22
4.68532991409301758e+00,2.72847549583243338e-23,1.48141817600362183e-22
4.70522212982177734e+00,2.77358634892531589e-23,1.61749138100896328e-22
4.72511100769042969e+00,2.91082195625171861e-23,1.76260442711715819e-22
4.74500465393066406e+00,3.18052939767007540e-23,1.91710327716680027e-22
4.76489353179931641e+00,3.60198748707090152e-23,2.08130170847155025e-22
4.78478145599365234e+00,4.20323675864682097e-23,2.25535610481725913e-22
4.80467796325683594e+00,4.97059583994640470e-23,2.43893577571245827e-22
4.82456874847412109e+00,5.88031496901270684e-23,2.63193911587255519e-22
4.84445858001708984e+00,6.85532054213946201e-23,2.84158855709251898e-22
4.86435127258300781e+00,7.78165970830132251e-23,3.05324486045536503e-22
4.88424015045166016e+00,8.51272866360584299e-23,3.26507483943510453e-22
4.90413141250610352e+00,8.95245424721669104e-23,3.47387483523232634e-22
4.92402601242065430e+00,9.06494139468013808e-23,3.67814689565132438e-22
4.94391489028930664e+00,8.88566675862578347e-23,3.87793898343513608e-22
4.96380710601806641e+00,8.48417442319173907e-23,4.06197783448604626e-22
4.98369884490966797e+00,7.94777046465807306e-23,4.23637743636387985e-22
5.00359010696411133e+00,7.34811690092123467e-23,4.38316513951055034e-22
5.02349996566772461e+00,6.73783390980308628e-23,4.48458362184066032e-22
5.04336261749267578e+00,6.14657130174290275e-23,4.53076820928885726e-22
5.06325864791870117e+00,5.59341067540489408e-23,4.52835896497543988e-22
5.08314466476440430e+00,5.08216317559436405e-23,4.50023664168416256e-22
5.10305118560791016e+00,4.62795599902983075e-23,4.47489060390828387e-22
5.12293672561645508e+00,4.21381506784147265e-23,4.47427920515230138e-22
5.14282751083374023e+00,3.84412550202923230e-23,4.50781273560016033e-22
5.16271400451660156e+00,3.51836949329492262e-23,4.57363377491886353e-22
5.18261480331420898e+00,3.22492901377081065e-23,4.65949819211742220e-22
5.20251607894897461e+00,2.96332317384907365e-23,4.75742296727048936e-22
5.22240447998046875e+00,2.73006710159480729e-23,4.84764997460153748e-22
5.24229335784912109e+00,2.52185042110534211e-23,4.92234917009196004e-22
5.26216650009155273e+00,2.33582897327299427e-23,4.98235964930942252e-22
5.28207826614379883e+00,2.16910637639815431e-23,5.02877849689203389e-22
5.30196285247802734e+00,2.01949291038010974e-23,5.07416993203168541e-22
5.32184696197509766e+00,1.88498534183614233e-23,5.12330145138629838e-22
5.34175109863281250e+00,1.76388651541475958e-23,5.17255060567909791e-22
5.36163330078125000e+00,1.65456128023161940e-23,5.19770681196674422e-22
5.38153028488159180e+00,1.55574067463458325e-23,5.17079769363882440e-22
5.40141773223876953e+00,1.46626175987717432e-23,5.05433001715650455e-22
5.42130756378173828e+00,1.38512899349700370e-23,4.81598295216430387e-22
5.44119215011596680e+00,1.31140323658640577e-23,4.45135149936746822e-22
5.46109342575073242e+00,1.24432923371472193e-23,3.98973130221326445e-22
5.48098373413085938e+00,1.09945595399005990e-23,3.50081752748037236e-22
5.50086736679077148e+00,1.04455218161976374e-23,3.05256631385913012e-22
5.52075862884521484e+00,9.95289790240974608e-24,2.68707228899408962e-22
5.54065465927124023e+00,9.50515622982440420e-24,2.41160811934266439e-22
5.56054019927978516e+00,9.09791388725220385e-24,2.21744761489791687e-22
5.58043479919433594e+00,8.72734726588553877e-24,2.08725842872131032e-22
5.60033035278320312e+00,8.38985206024845418e-24,2.00405909920495032e-22
5.62021970748901367e+00,8.08242902117929977e-24,1.95322439760152897e-22
5.64011383056640625e+00,7.80232975728428555e-24,1.92244001585392904e-22
5.66000175476074219e+00,7.54713088786257257e-24,1.90398609803478529e-22
5.67989110946655273e+00,7.31456680439436608e-24,1.88942991039390234e-22
5.69978618621826172e+00,7.10142920957813222e-24,1.87218225556215014e-22
5.71967935562133789e+00,6.87973247394025039e-24,1.84640758232481056e-22
5.73956489562988281e+00,6.67950458783795840e-24,1.80963959594780063e-22
5.75945663452148438e+00,6.49879509268309729e-24,1.75864636485686607e-22
5.77935123443603516e+00,6.33590241550310534e-24,1.70050554909364981e-22
5.79924440383911133e+00,6.18927999449329676e-24,1.64221327203663111e-22
5.81913614273071289e+00,6.05753706787776690e-24,1.59319029994257655e-22
5.83902549743652344e+00,5.93942447441309830e-24,1.55869991277112073e-22
5.85891628265380859e+00,5.83439040589608885e-24,1.53865098131049250e-22
5.87880897521972656e+00,5.74072106201014591e-24,1.53380750157018033e-22
5.89869832992553711e+00,5.65757591146075649e-24,1.53978618370754175e-22
5.91859149932861328e+00,5.58428797235255622e-24,1.55145703370148832e-22
5.93847990036010742e+00,5.51987353513673450e-24,1.56456474650264065e-22
5.95837306976318359e+00,5.46365181285208560e-24,1.57487711490892422e-22
5.97826290130615234e+00,5.41500157753574797e-24,1.58020653296685254e-22
5.99815511703491211e+00,5.37335918807094120e-24,1.57682957720378244e-22
6.01803493499755859e+00,5.35028106228870049e-24,1.56474397570030687e-22
6.03794479370117188e+00,5.33498859921053857e-24,1.54502775421506466e-22
6.05781841278076172e+00,5.32584806790174271e-24,1.51910830922439892e-22
6.07773160934448242e+00,5.32247253208830200e-24,1.48839208505901008e-22
6.09760475158691406e+00,5.32456380234804290e-24,1.45367336998714709e-22
6.11750364303588867e+00,5.33178385178307821e-24,1.41507080868895517e-22
6.13738632202148438e+00,5.34378597602556329e-24,1.37199458564281869e-22
6.15727567672729492e+00,5.36029722920229168e-24,1.32418620690731482e-22
6.17719030380249023e+00,5.38106557025404526e-24,1.26910503549665256e-22
6.19706010818481445e+00,5.40586025736604688e-24,1.20644650799254419e-22
6.21695709228515625e+00,5.43446593151117121e-24,1.13584459293496715e-22
6.23683977127075195e+00,5.46668616632401822e-24,1.05827993909241979e-22
6.25674200057983398e+00,5.50233834050502924e-24,9.76144751382766724e-23
6.27662277221679688e+00,5.54125403225093958e-24,8.92837758130062158e-23
6.29653358459472656e+00,5.58327665267206288e-24,8.12145870332601455e-23
6.31641101837158203e+00,5.62825986807048063e-24,7.37557494022144347e-23
6.33629989624023438e+00,5.67606799437049483e-24,6.70158859110743958e-23
6.35619831085205078e+00,5.72657639154908056e-24,6.10923293737698181e-23
6.37608385086059570e+00,5.77966712490090726e-24,5.59344475419599963e-23
6.39597272872924805e+00,5.83522817617743357e-24,5.14214910546045605e-23
6.41587448120117188e+00,5.89315817675233857e-24,4.74137936661559410e-23
6.43576478958129883e+00,5.95336049116473269e-24,4.37822409345348043e-23
6.45565176010131836e+00,6.01574440041051553e-24,4.04439677548131145e-23
6.47554063796997070e+00,6.08022510194237581e-24,3.73878953644379477e-23
6.49543333053588867e+00,6.14672252637843361e-24,3.45783009861772756e-23
6.51533079147338867e+00,6.23353706342845857e-24,3.20595091365736564e-23
6.53521823883056641e+00,6.32860269111664271e-24,2.98457824207934860e-23
6.55510663986206055e+00,6.42657211579694538e-24,2.79351518420173327e-23
6.57500314712524414e+00,6.52739958353686379e-24,2.63111018083334895e-23
6.59488964080810547e+00,6.63103934040389510e-24,2.49499207386528232e-23
6.61478137969970703e+00,6.73745036563096782e-24,2.38254042514257022e-23
6.63467884063720703e+00,6.84659006072920002e-24,2.29115735793213881e-23
6.65457153320312500e+00,6.95842213809695154e-24,2.21823789575276728e-23
6.67445707321166992e+00,7.07290636582805610e-24,2.16144953467989813e-23
6.69435071945190430e+00,7.19002775556531450e-24,2.11836100540364020e-23
6.71424627304077148e+00,7.30977999642148498e-24,2.08678511217817771e-23
6.73413562774658203e+00,7.43207631369699322e-24,2.06493824049680597e-23
6.75402736663818359e+00,7.55688278637291472e-24,2.05157083468565488e-23
6.77391815185546875e+00,7.68416707115213541e-24,2.04573389507574357e-23
6.79380464553833008e+00,7.81389761359844647e-24,2.04662956774753150e-23
6.81370162963867188e+00,7.94604207041473382e-24,2.05463193054227449e-23
6.83359384536743164e+00,8.08056730944297818e-24,2.06596265526832597e-23
6.85347938537597656e+00,8.21744177624697072e-24,2.08010346031095574e-23
6.87337350845336914e+00,8.35663391639050259e-24,2.09531758950122922e-23
6.89326286315917969e+00,8.49811296429827017e-24,2.10898555131726951e-23
6.91315698623657227e+00,8.64184499895134897e-24,2.11965552614910788e-23
6.93304729461669922e+00,8.78779767705262491e-24,2.12577361578563995e-23
6.95293807983398438e+00,8.93594102188769960e-24,2.12560259074138804e-23
6.97282791137695312e+00,9.08624269015945898e-24,2.11759186602104971e-23
6.99272155761718750e+00,9.23867112743169420e-24,2.10041615530385366e-23
7.01262664794921875e+00,9.41776464102221007e-24,2.07318341467817598e-23
7.03249835968017578e+00,9.61466116752175374e-24,2.03502400388210102e-23
7.05238628387451172e+00,9.81553197526180086e-24,1.98535684797284299e-23
7.07228708267211914e+00,1.00203778531032567e-23,1.92407781731091270e-23
7.09219455718994141e+00,1.02292051119333629e-23,1.85121499534453603e-23
7.11206865310668945e+00,1.04420176960566457e-23,1.76807615568238838e-23
7.13197135925292969e+00,1.06588171831949155e-23,1.67627041679893955e-23
7.15186023712158203e+00,1.08796043622090775e-23,1.57802946619505981e-23
7.17175579071044922e+00,1.11043784442382265e-23,1.47610279966980644e-23
7.19164657592773438e+00,1.13331354849778364e-23,1.37349629281643362e-23
7.21152114868164062e+00,1.15658715401233810e-23,1.27311784470376701e-23
7.23141860961914062e+00,1.18025818765094292e-23,1.17745504931033057e-23
7.25129747390747070e+00,1.20432530835005920e-23,1.08815544263667838e-23
7.27119112014770508e+00,1.22878764836269121e-23,1.00654304882613339e-23
7.29107999801635742e+00,1.25364378773920955e-23,9.34344211083681245e-24
7.31099081039428711e+00,1.27889246430216586e-23,8.69192504465839968e-24
7.33088016510009766e+00,1.30453162701320658e-23,8.11655987710459207e-24
7.35077142715454102e+00,1.33055969815052125e-23,7.61094421306861588e-24
7.37066125869750977e+00,1.35697423224530370e-23,7.16705060397894209e-24
7.39054679870605469e+00,1.38377325714529087e-23,6.77622682342710666e-24
7.41043996810913086e+00,1.41095361740686188e-23,6.43388840626241766e-24
7.43033313751220703e+00,1.43851278867512001e-23,6.13380414019453432e-24
7.45021867752075195e+00,1.46644777327862544e-23,5.87049499180624412e-24
7.47011661529541016e+00,1.49475573131811936e-23,5.63922621794441053e-24
7.49000072479248047e+00,1.52343334957779984e-23,5.43511476960571549e-24
7.50990152359008789e+00,1.55555087470078707e-23,5.25718403698949540e-24
7.52978992462158203e+00,1.59138346137082214e-23,5.10384722638489817e-24
7.54967784881591797e+00,1.62791119227053796e-23,4.96974245021913661e-24
7.56957292556762695e+00,1.66513911610972795e-23,4.85271020176416818e-24
7.58945846557617188e+00,1.70306991501546986e-23,4.75080199458409699e-24
7.60934925079345703e+00,1.74170753329228979e-23,4.66229180101829947e-24
7.62924671173095703e+00,1.78105512638380864e-23,4.58598213021265011e-24
7.64913082122802734e+00,1.82111553418928520e-23,4.52071651208009492e-24
7.66902875900268555e+00,1.86189143883579721e-23,4.46542209578953332e-24
